2024-07-31 13:21:10.718 [info] Log level: Info
2024-07-31 13:21:10.718 [info] Validating found git in: "git"
2024-07-31 13:21:10.718 [info] Using git "2.34.1" from "git"
2024-07-31 13:21:10.724 [info] > git rev-parse --show-toplevel [7ms]
2024-07-31 13:21:10.732 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.745 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.754 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.761 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.770 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.776 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.784 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:21:10.790 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.797 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.803 [info] > git rev-parse --show-toplevel [0ms]
2024-07-31 13:21:10.808 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.815 [info] > git rev-parse --show-toplevel [0ms]
2024-07-31 13:21:10.825 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.833 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:21:10.840 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.846 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:10.853 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:21:10.859 [info] > git rev-parse --show-toplevel [0ms]
2024-07-31 13:21:10.863 [info] > git rev-parse --show-toplevel [0ms]
2024-07-31 13:21:14.983 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:20.054 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 13:21:24.128 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:21:25.133 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:22:58.760 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:23:02.917 [info] > git rev-parse --show-toplevel [5ms]
2024-07-31 13:23:05.477 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 13:23:06.473 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:23:44.792 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 13:23:52.132 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 13:26:40.904 [info] > git rev-parse --show-toplevel [4ms]
2024-07-31 13:30:55.424 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 13:33:34.071 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:34:15.758 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:36:21.086 [info] > git rev-parse --show-toplevel [5ms]
2024-07-31 13:39:36.342 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:40:54.103 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:41:15.896 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:43:34.921 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:44:43.209 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:45:09.062 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 13:45:44.569 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:45:46.806 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:45:51.864 [info] > git rev-parse --show-toplevel [6ms]
2024-07-31 13:45:58.648 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 13:46:54.783 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:46:56.225 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 13:46:57.692 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:50:26.299 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 13:51:56.690 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 14:01:38.252 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 14:07:12.455 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 14:07:25.994 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 14:10:04.388 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 14:19:06.674 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 14:32:40.419 [info] > git rev-parse --show-toplevel [6ms]
2024-07-31 14:33:46.681 [info] > git rev-parse --show-toplevel [2ms]
2024-07-31 14:34:47.059 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 14:55:32.677 [info] > git rev-parse --show-toplevel [3ms]
2024-07-31 14:58:10.512 [info] > git rev-parse --show-toplevel [1ms]
2024-07-31 14:59:49.307 [info] > git rev-parse --show-toplevel [1ms]
2024-08-01 04:53:41.160 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 04:53:49.543 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 04:55:27.387 [info] > git rev-parse --show-toplevel [3ms]
2024-08-01 04:55:31.754 [info] > git rev-parse --show-toplevel [2ms]
2024-08-01 05:22:39.498 [info] > git rev-parse --show-toplevel [2ms]
